LSOA,LA CODE,LA NAME,GOR CODE,GOR NAME,2004IMD SCORE,2004RANK OF IMD (where 1 is most deprived),2004INCOME SCORE,2004RANK OF INCOME SCORE (where 1 is most deprived),2004EMPLOYMENT SCORE,2004RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2004HEALTH DEPRIVATION AND DISABILITY SCORE,2004RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2004EDUCATION SKILLS AND TRAINING SCORE,2004RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2004BARRIERS TO HOUSING AND SERVICES SCORE,2004RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2004CRIME AND DISORDER SCORE,2004RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2004LIVING ENVIRONMENT SCORE,2004RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2007IMD SCORE,2007RANK OF IMD (where 1 is most deprived),2007INCOME SCORE,2007RANK OF INCOME SCORE (where 1 is most deprived),2007EMPLOYMENT SCORE,2007RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2007HEALTH DEPRIVATION AND DISABILITY SCORE,2007RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2007EDUCATION SKILLS AND TRAINING SCORE,2007RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2007BARRIERS TO HOUSING AND SERVICES SCORE,2007RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2007CRIME AND DISORDER SCORE,2007RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2007LIVING ENVIRONMENT SCORE,2007RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2010imd_score,2010imd_rank,2010income_score,2010income_rank,2010employ_score,2010employ_rank,2010healthdd_score,2010healthdd_rank,2010edust_score,2010edust_rank,2010housesb_score,2010housesb_rank,2010crimed_score,2010crimed_rank,2010environl_score,2010environl_rank
E01002976,00AX,Kingston upon Thames,H,London,8.15,26256,0.05,24048,0.04,27563,-1.35,30450,14.04,17940,29.5,7508,-1.3,30587,8.5,24403,10.46,23225,0.08,22192,0.05,26723,-1.11,28948,12.19,19491,33.79,4782,-0.61,24660,13.05,19341,8.97,25383,0.07,23134,0.04,28579,-1.58,31599,14.25,17730,29.08,7875,-0.73,26268,14.99,17857
E01002977,00AX,Kingston upon Thames,H,London,16.65,16561,0.16,10589,0.09,15861,-0.48,22556,8.53,23229,27.28,9298,-0.91,27751,25.2,11014,18.52,15100,0.21,8668,0.08,16022,-0.73,25519,8.03,23565,31.78,5950,-0.46,22754,25.15,10858,21.09,13189,0.21,8112,0.08,16101,-0.36,21085,11.4,20235,31.43,6207,0.02,16008,30.76,8188
E01002978,00AX,Kingston upon Thames,H,London,4.55,30527,0.04,28441,0.03,31028,-2.02,32191,2.81,29884,21.09,15418,-1.26,30401,18.79,14783,6.87,27790,0.07,24031,0.03,30317,-1.84,31968,2.93,29555,27.07,9416,-0.91,27888,19.56,14138,5.52,29513,0.04,28777,0.03,31553,-1.97,32243,3.31,29071,25.47,10971,-0.53,23823,16.99,16136
E01002979,00AX,Kingston upon Thames,H,London,7.42,27170,0.06,22025,0.04,28381,-1.45,30927,6.52,25396,27.28,9288,-1.49,31390,13.94,18681,7.92,26487,0.06,25001,0.04,27367,-1.24,29802,4.26,27942,32.22,5670,-1.14,29642,13.89,18506,8.55,25905,0.07,22616,0.05,26350,-1.44,31184,4.5,27660,31.12,6393,-0.69,25751,14.06,18692
E01002980,00AX,Kingston upon Thames,H,London,4.78,30315,0.02,30708,0.04,28688,-1.17,29373,4.93,27301,24.09,12206,-1.47,31329,11.38,21221,5.9,28918,0.04,29415,0.05,26900,-1.46,30928,3.24,29157,28.82,7999,-1.4,31059,11.66,20778,7.43,27274,0.05,27053,0.03,30176,-1.22,30091,2.41,30150,29.08,7880,-0.15,18512,17.58,15648
E01002981,00AX,Kingston upon Thames,H,London,8.8,25405,0.05,25378,0.04,29092,-1.4,30705,3.67,28841,36.7,3408,-0.53,23482,13.87,18733,11.75,21656,0.06,24341,0.04,28514,-1.35,30404,2.59,29969,44.57,1177,-0.78,26658,25.11,10885,10.06,23931,0.05,27246,0.04,29706,-1.53,31483,2.75,29729,43.89,1353,-0.44,22710,15.86,17096
E01002982,00AX,Kingston upon Thames,H,London,12.58,20806,0.09,17444,0.05,25747,-0.68,24995,5.25,26909,34.79,4276,-0.4,21675,20.74,13457,12.27,21084,0.09,19369,0.05,24505,-0.92,27361,3.88,28377,38.61,2695,-0.66,25257,19.01,14489,11.21,22462,0.08,21607,0.04,26879,-1.16,29688,4.31,27883,36.68,3484,-0.39,22010,22.54,12229
E01002983,00AX,Kingston upon Thames,H,London,6.42,28434,0.03,30219,0.03,30759,-1.9,32065,4.48,27857,35.3,4050,-0.63,24712,6.66,26613,8.62,25595,0.05,27237,0.03,30010,-1.66,31604,3.16,29253,39.27,2506,-0.34,21009,10.56,21942,6.96,27871,0.05,27002,0.03,31330,-1.75,31977,2.97,29471,34.43,4539,-0.41,22269,9.14,23902
E01002984,00AX,Kingston upon Thames,H,London,13.82,19376,0.09,16938,0.06,21710,-1.03,28289,1.85,31010,30.27,6979,0.35,11262,27.46,9875,16.72,16582,0.12,16126,0.07,20241,-0.77,25909,1.63,31102,37.14,3231,0.23,12850,35.23,6645,14.04,19188,0.13,14544,0.06,23103,-0.96,28089,1.08,31652,32.51,5546,-0.35,21378,33.78,7033
E01002985,00AX,Kingston upon Thames,H,London,11.53,22003,0.1,16650,0.04,27242,-1.11,28909,4.64,27650,34.32,4509,-1.02,28722,23.14,12070,13.26,19998,0.1,17627,0.05,26143,-1.22,29661,3.31,29069,43.65,1357,-1,28690,21.36,12974,12.12,21403,0.09,19116,0.04,29200,-1.55,31533,2.49,30057,36.05,3793,-0.04,16949,29.95,8524
E01002986,00AX,Kingston upon Thames,H,London,11.52,22026,0.07,19945,0.06,23647,-0.74,25615,3.01,29632,33.71,4851,-0.4,21697,18.69,14852,14.98,18235,0.1,18201,0.07,20272,-0.81,26337,3.41,28955,44.94,1108,-0.57,24181,16.62,16243,13.61,19668,0.1,17388,0.06,20989,-0.81,26645,2.53,30010,38.12,2938,-0.34,21358,18.23,15148
E01002987,00AX,Kingston upon Thames,H,London,17.79,15593,0.09,17552,0.08,17680,-0.02,16321,2.88,29786,30.08,7119,-0.59,24223,52.08,2164,21.48,12820,0.12,16010,0.11,11444,-0.02,16350,1.69,31025,34.85,4237,-0.42,22244,52.07,2214,20.45,13657,0.13,14589,0.1,12108,0.21,13018,1.9,30750,28.97,7958,-0.46,22955,47.49,3086
E01002988,00AX,Kingston upon Thames,H,London,9.06,25066,0.03,28494,0.02,31921,-0.85,26680,2.44,30339,28.86,7970,-0.22,19195,36.64,6098,10.19,23566,0.04,29886,0.03,30130,-0.92,27344,0.4,32313,33.67,4840,-0.13,18103,38.91,5429,7.46,27244,0.03,30885,0.03,30621,-0.87,27217,0.43,32257,26.37,10141,-0.42,22411,33.26,7218
E01002989,00AX,Kingston upon Thames,H,London,11.27,22320,0.04,27524,0.04,29251,-1.26,30011,1.83,31030,27.64,8979,0.06,15366,50.7,2396,11.42,22023,0.04,30173,0.03,30300,-1.36,30499,1.45,31303,33.21,5091,0.07,15205,49.13,2797,9.79,24304,0.03,30737,0.03,31636,-1.63,31732,0.39,32291,26.82,9731,-0.2,19243,53.57,1898
E01002990,00AX,Kingston upon Thames,H,London,12.96,20372,0.04,26710,0.04,28316,-1.19,29543,1.71,31156,33.77,4814,-0.34,20924,55.72,1581,14.01,19204,0.05,28026,0.05,26970,-0.84,26533,1.61,31121,38.2,2845,-0.42,22212,55.17,1743,12.24,21254,0.04,29532,0.04,29366,-1.19,29875,3.75,28557,33.18,5165,-0.67,25616,58.11,1312
E01002991,00AX,Kingston upon Thames,H,London,12.22,21215,0.05,25251,0.05,25753,-1.12,28988,0.92,31984,36.76,3379,0.03,15827,34.55,6851,13.3,19947,0.04,28704,0.05,26552,-0.96,27720,0.28,32392,40.09,2263,0.04,15648,43.56,4072,10.72,23074,0.04,28870,0.03,30450,-1.55,31524,0.33,32336,35.83,3892,-0.4,22223,45.52,3513
E01002992,00AX,Kingston upon Thames,H,London,12.47,20923,0.05,24633,0.03,30150,-0.85,26767,7.37,24455,42.42,1569,-0.04,16813,20.7,13480,12.61,20694,0.04,28815,0.03,31626,-0.98,27890,7.78,23806,46.14,908,-0.01,16373,23.66,11652,10.72,23075,0.05,26959,0.03,31657,-1.27,30358,9.33,22253,39.32,2500,-0.71,26037,28.42,9185
E01002993,00AX,Kingston upon Thames,H,London,9.93,24013,0.05,24813,0.03,29942,-1.4,30675,0.93,31976,29.26,7671,-1.51,31448,47.93,2984,9.86,24007,0.06,25754,0.03,31173,-1.13,29086,0.88,31879,33.37,5010,-1.19,30021,41.94,4528,9.53,24647,0.05,28051,0.03,31656,-1.23,30163,2.14,30476,28.25,8544,-0.68,25629,48.62,2832
E01002994,00AX,Kingston upon Thames,H,London,11.16,22460,0.07,21595,0.05,25770,-0.82,26433,1.08,31816,38.9,2571,-1.21,30090,21.52,13007,10.39,23325,0.06,25218,0.04,28911,-0.93,27422,0.66,32112,39.57,2419,-1.29,30561,28.16,9416,8.37,26136,0.05,26863,0.04,29118,-1.46,31261,1.01,31718,34.11,4691,-1.08,29265,26.64,10021
E01002995,00AX,Kingston upon Thames,H,London,8.37,25953,0.05,24143,0.03,29497,-1.38,30625,0.62,32233,30.73,6678,-0.87,27338,27.87,9693,8.57,25666,0.05,27682,0.03,31330,-1.31,30212,0.44,32277,35.84,3759,-0.52,23541,24.59,11140,6.88,27971,0.04,29629,0.03,31664,-1.45,31233,1.13,31596,30.74,6663,-1.03,28914,27.57,9589
E01002996,00AX,Kingston upon Thames,H,London,10.38,23416,0.06,23225,0.04,28741,-0.74,25605,5.68,26404,24.81,11484,-0.53,23526,39.78,5066,9.22,24847,0.05,26497,0.04,27988,-0.8,26221,4.02,28224,29.34,7634,-0.67,25397,30.43,8417,8.91,25446,0.05,26600,0.04,27763,-1.16,29683,2.63,29869,23.63,12733,-0.1,17818,35.27,6499
E01002997,00AX,Kingston upon Thames,H,London,11.36,22224,0.06,23388,0.06,21353,-0.69,25049,3.04,29595,27.84,8813,-1.04,28957,36.98,5956,11.58,21853,0.07,23746,0.07,20101,-0.74,25637,1.83,30860,31.63,6045,-1.06,29136,31.84,7872,9.82,24259,0.06,25453,0.05,24467,-0.94,27940,1.94,30702,25.37,11055,-0.6,24802,38.4,5481
E01002998,00AX,Kingston upon Thames,H,London,14.72,18431,0.14,11718,0.07,19413,-0.64,24467,10.16,21554,25.93,10453,-0.56,23885,20.31,13708,14.65,18532,0.17,10891,0.06,22122,-0.75,25724,6.12,25727,29.52,7539,-0.57,24169,23.03,11981,14.55,18663,0.17,10259,0.06,22761,-1.21,30047,8.3,23310,24.43,11965,-0.42,22463,30.08,8476
E01002999,00AX,Kingston upon Thames,H,London,16.45,16724,0.08,19629,0.06,21291,-0.43,21885,2.71,30009,31.73,6030,0,16177,51.31,2284,17.54,15873,0.1,17964,0.06,22287,-0.41,21760,3.2,29207,37.04,3280,-0.09,17517,50.06,2623,14.99,18255,0.09,19240,0.05,25058,-0.67,25031,6.75,25106,30.88,6561,-0.6,24805,52.58,2050
E01003000,00AX,Kingston upon Thames,H,London,14.48,18687,0.11,15254,0.06,20787,-0.48,22579,13.66,18258,33.12,5191,-0.63,24680,13.68,18918,16.99,16342,0.14,13277,0.08,16482,-0.47,22543,15.05,16997,34.06,4634,-0.49,23064,13.95,18465,15.86,17468,0.13,13736,0.07,18485,-0.61,24355,16.97,15560,32.62,5483,-0.47,23065,13.65,19128
E01003001,00AX,Kingston upon Thames,H,London,8.31,26027,0.05,24515,0.04,28297,-1.04,28398,10.68,21049,28.42,8306,-0.69,25378,13.13,19445,9.94,23897,0.06,24830,0.04,28102,-1.32,30296,10.42,21151,34.18,4573,-0.47,22933,17.5,15572,9.86,24203,0.07,23168,0.04,29481,-1.6,31659,8.07,23564,31.68,6039,-0.01,16415,18.94,14629
E01003002,00AX,Kingston upon Thames,H,London,16.37,16805,0.11,14831,0.05,24105,-0.8,26261,5.7,26382,41.09,1952,-0.21,19168,31.12,8228,18.44,15159,0.16,12266,0.07,18180,-0.5,22783,7.86,23721,35.28,4017,-0.04,16898,30.91,8246,16.93,16526,0.15,11933,0.06,22745,-1.13,29476,8.9,22687,31.05,6448,-0.1,17718,41.57,4572
E01003003,00AX,Kingston upon Thames,H,London,12.49,20896,0.07,21079,0.07,20527,-0.72,25378,8.56,23199,25.51,10805,-0.31,20462,31.46,8065,11.71,21701,0.07,22488,0.05,25607,-1.25,29897,5.57,26344,32.27,5642,-0.3,20568,33.92,7123,10.87,22869,0.09,19984,0.05,25188,-1.52,31456,5.54,26477,25.93,10558,-0.2,19232,31.44,7937
E01003004,00AX,Kingston upon Thames,H,London,13.57,19644,0.08,18933,0.04,28891,-1.75,31817,19.38,13777,30.76,6644,0.25,12665,25.56,10834,12.72,20574,0.08,21888,0.04,29350,-1.71,31711,14.48,17446,34.85,4234,0.13,14247,25.43,10719,11.69,21913,0.06,24317,0.03,30774,-1.46,31272,14.19,17780,33.04,5239,-0.2,19229,33.18,7250
E01003005,00AX,Kingston upon Thames,H,London,8.64,25619,0.07,21065,0.03,30798,-1.39,30673,14.34,17680,22.89,13471,-0.8,26632,20.97,13321,10.15,23619,0.08,21555,0.05,26579,-1.04,28390,16.4,15916,27.1,9390,-0.74,26225,16.14,16606,8.75,25651,0.08,21067,0.04,28158,-1.34,30736,16.15,16176,25,11421,-1.08,29266,13.73,19059
E01003006,00AX,Kingston upon Thames,H,London,6.78,27983,0.06,22986,0.04,28631,-1.17,29416,1.45,31439,23.38,12921,-0.52,23410,15.78,17088,9.1,25010,0.08,21416,0.05,26724,-1.42,30758,0.95,31827,33.94,4704,-0.41,22010,11.84,20601,7.06,27742,0.06,24383,0.04,27694,-1.41,31051,1.58,31107,29.67,7415,-0.53,23900,10.56,22274
E01003007,00AX,Kingston upon Thames,H,London,6.11,28813,0.06,23739,0.03,29865,-1.21,29693,3.27,29312,20.33,16197,-0.57,23988,16.19,16744,7.36,27196,0.06,24875,0.05,26448,-1.13,29094,2.34,30257,22.37,13813,-0.01,16451,13.8,18596,7.5,27191,0.07,23026,0.04,28100,-0.9,27524,1.48,31224,21.51,14862,0.15,14149,12.5,20239
E01003008,00AX,Kingston upon Thames,H,London,3.22,31620,0.04,28479,0.03,30465,-1.43,30818,1.13,31773,18.95,17758,-1.1,29338,7.54,25518,4.64,30252,0.04,28624,0.04,29407,-1.16,29291,0.88,31884,21.88,14316,-0.69,25583,11.2,21270,3.64,31330,0.04,29147,0.02,31985,-1.49,31345,0.82,31909,17.41,19456,-0.24,19853,9.95,22976
E01003009,00AX,Kingston upon Thames,H,London,14.58,18577,0.1,15911,0.06,22566,-0.8,26191,2.42,30351,46.86,741,-0.78,26441,9.03,23785,16.32,16976,0.11,16326,0.06,21141,-0.93,27417,1.74,30968,51.44,269,-0.74,26162,14.68,17790,11.51,22119,0.1,17510,0.06,22222,-0.91,27690,3.11,29292,28.55,8316,-0.39,22107,21.9,12621
E01003010,00AX,Kingston upon Thames,H,London,5.9,29059,0.05,26082,0.03,30256,-1.33,30365,0.78,32099,21.73,14711,-0.31,20554,17.73,15530,5.48,29425,0.05,27951,0.03,30089,-1.77,31835,0.62,32148,26.02,10277,-0.42,22154,12.45,19960,4.82,30236,0.03,31206,0.03,30726,-1.5,31401,0.48,32217,21.26,15141,0.04,15731,13.3,19461
E01003011,00AX,Kingston upon Thames,H,London,7.49,27080,0.04,28042,0.04,29268,-1.42,30794,1.55,31333,20.7,15807,0.12,14456,29.94,8763,8,26379,0.04,29592,0.04,27830,-1.32,30265,0.45,32266,25.45,10796,-0.16,18550,32.56,7613,7.26,27476,0.04,28760,0.04,28401,-1.34,30715,0.33,32334,20.97,15462,-0.1,17827,31.59,7878
E01003012,00AY,Lambeth,H,London,37.88,5270,0.28,4416,0.15,7015,0.89,5407,20.3,13194,34.02,4677,0.04,15627,59.77,1059,38.58,5098,0.32,3861,0.14,7257,1.03,4179,20.44,13084,38.15,2867,-0.37,21518,55.36,1718,33.22,6844,0.23,6709,0.11,10738,0.8,5925,26.19,9983,34.84,4326,-0.16,18606,53.9,1850
E01003013,00AY,Lambeth,H,London,15.15,17982,0.03,30444,0.04,29217,-0.08,17136,12.57,19251,34.4,4472,0.37,11052,44.56,3767,14.27,18932,0.03,30550,0.03,30063,-0.01,16198,6.54,25254,38.96,2602,0.03,15791,41.91,4535,11.61,22002,0.03,30984,0.03,31512,-0.26,19657,3.03,29390,34.44,4528,-0.25,20012,43.75,3978
E01003014,00AY,Lambeth,H,London,27.88,9093,0.15,11381,0.09,15231,0.28,12168,18.43,14478,33.52,4964,0.86,5234,53.62,1915,34.51,6465,0.23,7339,0.13,8150,0.62,8061,16.97,15516,36.22,3592,0.88,4910,50.92,2440,36.05,5853,0.21,7764,0.13,8263,1.04,3824,15.98,16295,34.15,4671,0.99,3695,49.45,2656
E01003015,00AY,Lambeth,H,London,36.53,5709,0.27,4613,0.15,6734,0.77,6487,18.32,14571,35.29,4058,0.51,9174,47.09,3160,40.44,4536,0.31,4177,0.16,5270,0.89,5339,23.98,11056,39.03,2575,0.44,9859,48.58,2918,36.57,5660,0.29,4015,0.15,5932,0.65,7465,17.61,15051,35.98,3823,0.12,14514,47.98,2984
E01003016,00AY,Lambeth,H,London,21.63,12635,0.08,19049,0.05,25483,0.2,13184,14.94,17186,45.85,896,-0.39,21655,50.77,2380,23.78,11323,0.11,16652,0.07,20270,0.52,9182,8.14,23443,50.13,380,-0.7,25757,47.48,3169,22.37,12305,0.1,17478,0.05,24062,0.44,9843,9.87,21711,49.02,468,-0.55,24156,45.24,3585
E01003017,00AY,Lambeth,H,London,31.04,7705,0.2,7875,0.12,10218,0.44,10115,20.67,12960,32.69,5480,-0.03,16560,59.84,1046,34.46,6479,0.22,8074,0.14,7103,0.75,6719,18.09,14669,36.59,3436,-0.38,21568,64.89,707,32.73,7036,0.18,9718,0.12,9261,0.82,5721,12.98,18821,34.16,4669,0.3,11808,65.19,648
E01003018,00AY,Lambeth,H,London,33.85,6642,0.18,9195,0.12,10591,0.41,10472,7.83,23966,32.34,5680,1.54,1040,64.39,710,32.87,7026,0.16,12186,0.11,11141,0.55,8910,8.31,23252,35.05,4145,1.23,2300,71.28,353,28.31,8966,0.16,11429,0.09,15256,0.37,10756,9.72,21871,33.46,5013,0.75,6078,65.09,656
E01003019,00AY,Lambeth,H,London,30.89,7763,0.21,7391,0.13,9341,0.55,8798,20.35,13157,31.31,6292,0.65,7439,41.28,4628,25.92,10090,0.17,11198,0.1,12813,0.45,10021,8.66,22897,35.5,3908,0.35,11084,46.47,3402,22.1,12485,0.14,13362,0.09,15300,0.2,13089,7.87,23781,34.39,4550,0.45,9708,36.78,5989
E01003020,00AY,Lambeth,H,London,34.19,6507,0.22,6759,0.13,8875,0.41,10568,10.47,21234,32.22,5743,1.36,1706,53.49,1942,32.23,7283,0.22,7812,0.12,9960,0.47,9802,9.37,22173,34.75,4286,1.13,2868,50.84,2455,30.66,7908,0.19,9205,0.11,11575,0.39,10568,12.61,19150,33.42,5038,0.98,3803,54.73,1729
E01003021,00AY,Lambeth,H,London,40.43,4466,0.28,4151,0.18,4555,1.16,3327,27.86,9167,34.34,4500,0.59,8230,32.06,7820,46.18,3059,0.34,3263,0.21,2500,1.46,1737,25.08,10489,36.68,3404,0.18,13589,41.7,4599,51.2,1969,0.33,2738,0.2,3033,1.59,1173,21.43,12506,35.35,4096,1.22,2130,51.81,2192
E01003022,00AY,Lambeth,H,London,29.18,8507,0.2,8029,0.12,9845,0.38,10897,10.61,21121,34.45,4451,1,3903,33.07,7428,31.3,7663,0.21,8370,0.13,8854,0.63,8007,14.23,17659,36.19,3606,0.76,5980,40.24,5038,24.54,10947,0.17,10256,0.1,13356,0.38,10663,10.09,21478,34.91,4297,0.4,10390,32.43,7538
E01003023,00AY,Lambeth,H,London,33.57,6749,0.2,7870,0.14,7649,0.67,7504,13.19,18653,34.3,4525,0.98,4037,47.03,3175,30.26,8081,0.23,7686,0.11,10990,0.62,8093,12.03,19622,35.75,3798,0,16180,55.95,1616,29.44,8450,0.19,9140,0.1,12088,0.41,10186,11.35,20277,34.18,4657,0.63,7383,55.98,1556
E01003024,00AY,Lambeth,H,London,48.55,2572,0.33,2834,0.19,3905,0.78,6389,25.73,10160,37.5,3102,1.58,938,56.46,1489,43.44,3736,0.36,2756,0.17,4551,0.86,5655,17.84,14864,41.17,1946,0.67,7094,50.54,2518,38.12,5138,0.31,3490,0.13,7837,0.42,10044,17.66,15022,37.37,3195,0.94,4128,49.69,2613
E01003025,00AY,Lambeth,H,London,39.18,4881,0.3,3689,0.17,5222,0.51,9270,16.15,16207,34.83,4254,1.19,2559,41.88,4458,35.21,6220,0.3,4582,0.14,7738,0.64,7821,16.33,15990,35.67,3833,0.7,6713,42.72,4292,33.22,6840,0.26,5362,0.12,9228,0.52,8936,14.87,17204,34.05,4720,1.01,3539,37.22,5854
E01003026,00AY,Lambeth,H,London,25.94,10108,0.1,16405,0.04,27160,0.22,12971,24.46,10794,31.3,6297,1.49,1240,53.54,1930,27.16,9490,0.12,15187,0.06,22576,0.54,8936,20.12,13325,33.09,5161,1.35,1661,50.43,2547,24.15,11184,0.1,17265,0.05,25319,0.52,8873,19.61,13649,32.58,5509,0.94,4113,50.29,2463
E01003027,00AY,Lambeth,H,London,12.93,20405,0.04,27403,0.04,28725,-0.39,21430,2.75,29953,29.26,7678,0.76,6167,36.75,6037,16.38,16922,0.05,28209,0.04,28004,-0.12,17691,0.75,32016,31.46,6147,1.22,2359,43.69,4041,14.29,18906,0.04,28911,0.03,30766,-0.13,17876,5.1,26987,31.16,6374,1.01,3586,33.55,7116
E01003028,00AY,Lambeth,H,London,25.94,10106,0.13,13008,0.08,18062,0.03,15624,15.02,17125,32.58,5543,1.26,2174,49.37,2674,28.19,9004,0.16,11831,0.09,15022,0.43,10289,16.83,15586,34.35,4485,0.86,5052,53.09,2041,23.81,11395,0.13,14389,0.07,17954,0.22,12774,16.11,16199,33.29,5107,0.54,8556,49.84,2584
E01003029,00AY,Lambeth,H,London,28.6,8765,0.15,10850,0.09,14497,0.65,7749,12.27,19548,32.81,5392,0.94,4451,50.99,2337,29.87,8242,0.16,12024,0.09,13629,0.71,7133,10.9,20664,37.59,3077,1.04,3612,50.81,2466,25.76,10261,0.15,12535,0.09,14898,0.73,6551,7.99,23640,35.93,3846,0.54,8504,41.6,4552
E01003030,00AY,Lambeth,H,London,26.2,9971,0.09,18159,0.06,22156,0.25,12488,28.44,8926,30.6,6752,1.09,3214,58.96,1143,28.33,8943,0.1,17568,0.07,18346,0.58,8580,7.69,23899,32.23,5664,1.69,631,58.78,1248,21.2,13102,0.08,20402,0.06,23558,0.29,11898,7.23,24525,31.87,5923,0.73,6237,58.46,1265
E01003031,00AY,Lambeth,H,London,33.5,6773,0.22,6602,0.12,10047,0.45,10060,14.61,17448,33.31,5083,1.23,2344,49.14,2727,35.12,6247,0.26,5812,0.13,8026,0.83,5890,16.58,15777,35.99,3695,0.7,6717,45.17,3703,30.15,8133,0.23,6729,0.12,9500,0.68,7108,16.05,16242,34.23,4629,0.18,13613,37.05,5903
E01003032,00AY,Lambeth,H,London,35.67,5976,0.26,5103,0.13,9219,0.68,7382,20.86,12832,36.16,3628,0.69,6946,49.81,2585,33.13,6939,0.25,6585,0.12,9726,0.58,8527,15.25,16835,40.77,2068,0.5,9182,48.26,2997,31.6,7527,0.21,7880,0.12,9434,0.68,7165,10.6,20995,38.14,2929,0.59,7960,45.49,3523
E01003033,00AY,Lambeth,H,London,17.81,15574,0.1,16458,0.05,26058,-0.28,19951,7.51,24316,29.88,7233,0.92,4549,38.64,5418,19.75,14099,0.12,16065,0.06,22086,0.16,13818,7.33,24323,32.06,5763,0.81,5538,37.25,5981,17.87,15711,0.11,16934,0.05,24727,0.08,14816,5.38,26643,31.58,6103,0.73,6243,34.93,6626
E01003034,00AY,Lambeth,H,London,29.2,8497,0.21,7482,0.1,13228,0.5,9401,13.1,18735,34.71,4320,0.48,9491,49.89,2568,28.09,9053,0.2,8838,0.09,15084,0.49,9614,10.4,21162,38.39,2771,0.51,8966,49.19,2792,25.26,10517,0.2,8604,0.09,15138,0.37,10729,6.55,25326,36.51,3559,0.39,10514,38.7,5402
E01003035,00AY,Lambeth,H,London,31.07,7692,0.15,10791,0.1,12991,0.57,8567,14.18,17830,33.59,4919,0.68,7071,69.54,378,31.45,7601,0.15,12508,0.09,15667,0.61,8226,14.12,17735,36.57,3444,1.45,1291,56.45,1541,27.84,9215,0.1,17457,0.07,20453,0.54,8721,19.38,13791,34.51,4500,1.3,1728,54.85,1712
E01003036,00AY,Lambeth,H,London,32.31,7215,0.21,7047,0.12,9856,0.4,10631,14.79,17297,32.99,5285,1.32,1921,40.47,4850,34.89,6328,0.22,7863,0.14,7881,0.63,7934,8.52,23042,35.33,3997,1.43,1337,47.68,3113,28.82,8742,0.2,8786,0.11,11014,0.49,9300,9.8,21792,34.89,4308,0.79,5593,41.05,4700
E01003037,00AY,Lambeth,H,London,38.52,5052,0.3,3550,0.16,5866,0.99,4576,13.43,18453,33.21,5149,0.83,5466,40.88,4742,46.39,2999,0.4,1904,0.18,3929,1.39,2047,11.32,20273,36.04,3664,0.73,6365,48.69,2897,42.77,3766,0.3,3810,0.16,5702,1.58,1215,10.05,21519,33.95,4776,1,3611,44.9,3677
E01003038,00AY,Lambeth,H,London,20.16,13742,0.07,20748,0.05,24492,-0.13,17881,6.48,25453,32.97,5297,1.2,2493,48.69,2831,22.44,12199,0.08,20993,0.06,21397,0.25,12658,2.24,30369,34.69,4331,1.07,3316,57.87,1363,19.13,14653,0.08,20979,0.05,23911,0.14,14033,1.01,31717,33.29,5104,0.71,6443,52.73,2035
E01003039,00AY,Lambeth,H,London,18.17,15260,0.06,22202,0.05,26444,-0.41,21703,3.28,29303,32.73,5441,0.76,6174,58.94,1145,23.86,11268,0.1,18028,0.07,20284,0.13,14238,8.97,22598,34.97,4182,0.95,4275,59.48,1162,18.46,15216,0.07,21855,0.05,25505,-0.02,16281,1.56,31136,33.19,5159,0.7,6548,54.91,1705
E01003040,00AY,Lambeth,H,London,24.28,10980,0.1,15947,0.07,20255,-0.05,16671,8.47,23296,35.41,3998,1.04,3599,58.49,1204,25.74,10181,0.12,15271,0.07,20675,0.14,14034,9.62,21898,37.94,2947,1.12,2963,57.03,1462,22.42,12268,0.11,16338,0.06,21719,0.2,13080,2.37,30209,36.5,3567,0.65,7133,57.59,1364
E01003041,00AY,Lambeth,H,London,45.72,3125,0.28,4298,0.14,7843,1.07,3930,21.07,12703,35.26,4072,2.25,90,57.38,1355,46.44,2993,0.3,4584,0.15,6759,1.07,3905,21.5,12434,38.98,2594,2.44,43,52.08,2209,41.88,4004,0.26,5463,0.12,9239,1.38,1864,17.14,15423,36.23,3718,1.41,1257,51,2340
E01003042,00AY,Lambeth,H,London,41.07,4284,0.27,4647,0.21,3049,1.02,4298,28.07,9081,33.47,4998,-0.05,16844,46.25,3335,48.43,2606,0.31,4067,0.24,1525,1.45,1789,21.49,12435,36.4,3511,0.57,8180,47.78,3089,39.71,4648,0.25,5975,0.2,3002,1.23,2622,10.87,20764,34.42,4542,0.35,11184,45.24,3584
